Year	1	2	3	4	5	6	7	8	9	10	11	12	Total
2021	0,67												0,67
2020	0,40	0,33	0,55	0,83	0,27	0,22	0,35	-0,04	-0,07	0,43	0,71	0,83	4,91
2019	1,01	0,44	0,32	0,29	0,34	0,04	0,20	-0,24	-0,16	0,13	0,28	0,36	3,05
2018	0,31	0,21	0,29	0,38	0,38	0,49	0,27	0,01	0,16	0,35	0,50	0,84	4,27
2017	0,62	0,22	0,13	0,33	0,37	0,61	0,07	-0,54	-0,15	0,20	0,22	0,42	2,52
2016	0,96	0,63	0,46	0,44	0,41	0,36	0,54	0,01	0,17	0,43	0,44	0,40	5,38
2015	3,85	2,22	1,21	0,46	0,35	0,19	0,80	0,35	0,57	0,74	0,75	0,77	12,91
2014	0,59	0,70	1,02	0,90	0,90	0,62	0,49	0,24	0,65	0,82	1,28	2,62	11,36
2013	0,97	0,56	0,34	0,51	0,66	0,42	0,82	0,14	0,21	0,57	0,56	0,51	6,45
2012	0,50	0,37	0,58	0,31	0,52	0,89	1,23	0,10	0,55	0,46	0,34	0,54	6,58
2011	2,37	0,78	0,62	0,43	0,48	0,23	-0,01	-0,24	-0,04	0,48	0,42	0,44	6,10
2010	1,64	0,86	0,63	0,29	0,50	0,39	0,36	0,55	0,84	0,50	0,81	1,08	8,78
2009	2,37	1,65	1,31	0,69	0,57	0,60	0,63	0,00	-0,03	0,00	0,29	0,41	8,80
2008	2,31	1,20	1,20	1,42	1,35	0,97	0,51	0,36	0,80	0,91	0,83	0,69	13,28
2007	1,68	1,11	0,59	0,57	0,63	0,95	0,87	0,09	0,79	1,64	1,23	1,13	11,87
2006	2,43	1,66	0,82	0,35	0,48	0,28	0,67	0,19	0,09	0,28	0,63	0,79	9,00
2005	2,62	1,23	1,34	1,12	0,80	0,64	0,46	-0,14	0,25	0,55	0,74	0,82	10,91
2004	1,75	0,99	0,75	0,99	0,74	0,78	0,92	0,42	0,43	1,14	1,11	1,14	11,74
2003	2,40	1,63	1,05	1,02	0,80	0,80	0,71	-0,41	0,34	1,00	0,96	1,10	11,99
2002	3,09	1,16	1,08	1,16	1,69	0,53	0,72	0,09	0,40	1,07	1,61	1,54	15,06
2001	2,76	2,28	1,86	1,79	1,78	1,62	0,45	0,01	0,60	1,09	1,36	1,60	18,58
2000	2,33	1,04	0,64	0,89	1,75	2,55	1,79	0,98	1,32	2,11	1,52	1,64	20,20
