Year	1	2	3	4	5	6	7	8	9	10	11	12	Total
2020	0,10	0,10	-0,40	-0,80	-0,10	0,60							-0,5
2019	0,01	0,20	0,40	0,30	0,10	0,10	0,30	0,10	0,20	0,40	0,30	0,20	2,64
2018	0,54	0,45	0,23	0,40	0,42	0,16	0,01	0,06	0,12	0,18	-0,33	-0,32	1,93
2017	0,58	0,31	0,08	0,30	0,09	0,09	-0,07	0,30	0,53	-0,06	0,00	-0,06	2,12
2016	0,17	0,08	0,43	0,47	0,40	0,33	-0,16	0,09	0,24	0,12	-0,16	0,03	2,07
2015	-0,47	0,43	0,60	0,20	0,51	0,35	0,01	-0,14	-0,16	-0,05	-0,21	-0,34	0,73
2014	0,37	0,37	0,64	0,33	0,35	0,19	-0,04	-0,17	0,08	-0,25	-0,54	-0,57	0,76
2013	0,30	0,82	0,26	-0,10	0,18	0,24	0,04	0,12	0,12	-0,26	-0,20	-0,01	1,5
2012	0,44	0,44	0,76	0,30	-0,12	-0,15	-0,16	0,56	0,45	-0,04	-0,47	-0,27	1,74
2011	0,48	0,49	0,98	0,64	0,47	-0,11	0,09	0,28	0,15	-0,21	-0,08	-0,25	2,96
2010	0,34	0,02	0,41	0,17	0,08	-0,10	0,02	0,14	0,06	0,12	0,04	0,17	1,5
2009	0,44	0,50	0,24	0,25	0,29	0,86	-0,16	0,22	0,06	0,10	0,07	-0,18	2,72
2008	0,50	0,29	0,87	0,61	0,84	1,01	0,53	-0,40	-0,14	-1,01	-1,92	-1,03	0,09
2007	0,31	0,54	0,91	0,65	0,61	0,19	-0,03	-0,18	0,28	0,21	0,59	-0,07	4,08
2006	0,76	0,20	0,55	0,85	0,50	0,20	0,30	0,20	-0,49	-0,54	-0,15	0,15	2,54
2005	0,21	0,58	0,78	0,67	-0,10	0,05	0,46	0,51	1,22	0,20	-0,80	-0,40	3,42
2004	0,49	0,54	0,64	0,32	0,59	0,32	-0,16	0,05	0,21	0,53	0,05	-0,37	3,26
2003	0,44	0,77	0,60	-0,22	-0,16	0,11	0,11	0,38	0,33	-0,11	-0,27	-0,11	1,88
2002	0,23	0,40	0,56	0,56	0,00	0,06	0,11	0,33	0,17	0,17	0,00	-0,22	2,38
2001	0,63	0,40	0,23	0,40	0,45	0,17	-0,28	0,00	0,45	-0,34	-0,17	-0,39	1,55
2000	0,30	0,59	0,82	0,06	0,12	0,52	0,23	0,00	0,52	0,17	0,06	-0,06	3,39
