Ticker;DateT-2;DateCutoff;Dividend
SBER;20201001;20201005;18.7
SBER;20190610;20190613;16
SBER;20180622;20180626;12
SBER;20170609;20170614;6
SBEP;20160612;20160614;1.97
SBER;20150613;20150615;0.45
SBER;20140615;20140617;3.2
SBER;20130409;20130411;2.57
SBER;20120410;20120412;2.08
SBER;20110413;20110415;0.92
SBER;20100414;20100416;0.08
SBER;20090506;20090508;0.48
SBER;20080506;20080506;0.51
SBER;20070510;20070512;0.3855
SBER;20060426;20060428;0.2644
SBER;20050505;20050507;0.1728
SBER;20040429;20040501;0.1337
SBER;20030508;20030510;0.1083
SBER;20020504;20020506;0.0525
SBER;20010606;20010608;0.0378
SBER;20000610;20000612;0.0328
SBERP;20201001;20201005;18.7
SBERP;20190610;20190613;16
SBERP;20180622;20180626;12
SBERP;20170609;20170614;6
SBERP;20160612;20160614;1.97
SBERP;20150613;20150615;0.45
SBERP;20140615;20140617;3.2
SBERP;20130409;20130411;3.2
SBERP;20120410;20120412;2.59
SBERP;20110413;20110415;1.15
SBERP;20100414;20100416;0.45
SBERP;20090506;20090508;0.63
SBERP;20080506;20080508;0.65
SBERP;20070510;20070512;0.465
SBERP;20060426;20060428;0.295
SBERP;20050505;20050507;0.1895
SBERP;20040428;20040501;0.144
SBERP;20030508;20030510;0.116
SBERP;20020504;20020506;0.057
SBERP;20010606;20010608;0.04
SBERP;20000610;20000612;0.0395
MTSS;20201008;20201012;8.93
MTSS;20200707;20200709;20.57
MTSS;20200108;20200110;13.25
MTSS;20191010;20191014;8.68
MTSS;20190705;20190709;19.98
MTSS;20181005;20181009;2.6
MTSS;20180705;20180709;23.4
MTSS;20171011;20171013;10.4
MTSS;20170706;20170710;15.6
MTSS;20161012;20161014;11.99
MTSS;20160703;20160705;14.01
MTSS;20151012;20151014;5.61
MTSS;20150705;20150707;19.56
MTSS;20141012;20141014;6.2
MTSS;20140705;20140707;18.6
MTSS;20130812;20130814;5.22
MTSS;20130506;20130508;14.6
MTSS;20120508;20120510;14.71
MTSS;20110508;20110510;14.54
MTSS;20100505;20100507;15.4
MTSS;20090506;20090508;20.15
MTSS;20080506;20080508;14.84
MTSS;20070512;20070514;9.67
MTSS;20060504;20060506;7.6
MTSS;20050501;20050503;5.75
MTSS;20040629;20040701;3.2
MTSS;20030629;20030701;1.7
MTSS;20010729;20010801;0.24
